,Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL,BHL Link URL
97,annualreportofbo1911smits,Annual report of the Board of Regents of the Smithsonian Institution,1911,834,https://library.si.edu/digital-library/book/annualreportofbo1911smits,http://www.biodiversitylibrary.org/ia/annualreportofbo1911smits,https://archive.org/details/annualreportofbo1911smits,https://www.biodiversitylibrary.org/itempdf/53285
98,annualreportofbo1899smit,Annual report of the Board of Regents of the Smithsonian Institution,1899 [Includes Report USNM],884,https://library.si.edu/digital-library/book/annualreportofbo1899smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1899smit,https://archive.org/details/annualreportofbo1899smit,https://www.biodiversitylibrary.org/itempdf/35617
99,smithsonianyears1992smit,Smithsonian year ... supplement : chronology and appendices,1992,248,https://library.si.edu/digital-library/book/smithsonianyears1992smit,http://www.biodiversitylibrary.org/ia/smithsonianyears1992smit,https://archive.org/details/smithsonianyears1992smit,https://www.biodiversitylibrary.org/itempdf/12394
100,statementbysecre1983smit,Statement by the Secretary,1983,86,https://library.si.edu/digital-library/book/statementbysecre1983smit,http://www.biodiversitylibrary.org/ia/statementbysecre1983smit,https://archive.org/details/statementbysecre1983smit,https://www.biodiversitylibrary.org/itempdf/10781
101,smithsonianyeara1999smit,Smithsonian year : annual report of the Smithsonian Institution for the year ended Sept. 30 ..,1999,126,https://library.si.edu/digital-library/book/smithsonianyeara1999smit,http://www.biodiversitylibrary.org/ia/smithsonianyeara1999smit,https://archive.org/details/smithsonianyeara1999smit,https://www.biodiversitylibrary.org/itempdf/10763
102,annualreportofbo1907smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1907,924,https://library.si.edu/digital-library/book/annualreportofbo1907smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1907smitfo,https://archive.org/details/annualreportofbo1907smitfo,https://www.biodiversitylibrary.org/itempdf/49899
103,annualreportofbo1961smit,Annual report of the Board of Regents of the Smithsonian Institution,1961,692,https://library.si.edu/digital-library/book/annualreportofbo1961smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1961smit,https://archive.org/details/annualreportofbo1961smit,https://www.biodiversitylibrary.org/itempdf/33464
104,annualreportofbo1861smith,Annual report of the Board of Regents of the Smithsonian Institution,1861,486,https://library.si.edu/digital-library/book/annualreportofbo1861smith,http://www.biodiversitylibrary.org/ia/annualreportofbo1861smith,https://archive.org/details/annualreportofbo1861smith,https://www.biodiversitylibrary.org/itempdf/35785
105,annualreportofbo1949smit,Annual report of the Board of Regents of the Smithsonian Institution,1949,532,https://library.si.edu/digital-library/book/annualreportofbo1949smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1949smit,https://archive.org/details/annualreportofbo1949smit,https://www.biodiversitylibrary.org/itempdf/53490
106,annualreportofbo1899smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1899,938,https://library.si.edu/digital-library/book/annualreportofbo1899smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1899smitfo,https://archive.org/details/annualreportofbo1899smitfo,https://www.biodiversitylibrary.org/itempdf/52678
